feed_id,method_id,pollutant_averaging,pollutant_id,pollutant_unit,pollutant_update-time,pollutant_value,station_id
MXMEX-2015121132,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T03:02:08.056545,93.6374549819928,MXMEX-ACO
MXMEX-2015121132,MXMEX-PM10-1993,1,Temp,C,2015-12-11T03:02:08.056545,10.1,MXMEX-ACO
MXMEX-2015121132,MXMEX-PM10-1993,1,Hum,%,2015-12-11T03:02:08.056545,81,MXMEX-ACO
MXMEX-2015121132,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T03:02:08.056545,108.04321728691477,MXMEX-ATI
MXMEX-2015121132,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T03:02:08.056545,130.0,MXMEX-CAM
MXMEX-2015121132,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T03:02:08.056545,124.0,MXMEX-CHO
MXMEX-2015121132,MXMEX-PM10-1993,1,Temp,C,2015-12-11T03:02:08.056545,8.6,MXMEX-CHO
MXMEX-2015121132,MXMEX-PM10-1993,1,Hum,%,2015-12-11T03:02:08.056545,76,MXMEX-CHO
MXMEX-2015121132,MXMEX-NOx-1993,1,NO2,ppb,2015-12-11T03:02:08.056545,56.7,MXMEX-COY
MXMEX-2015121132,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T03:02:08.056545,93.6374549819928,MXMEX-CUA
MXMEX-2015121132,MXMEX-PM10-1993,1,Temp,C,2015-12-11T03:02:08.056545,10.9,MXMEX-CUA
MXMEX-2015121132,MXMEX-PM10-1993,1,Hum,%,2015-12-11T03:02:08.056545,62,MXMEX-CUA
MXMEX-2015121132,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T03:02:08.056545,144.0,MXMEX-CUT
MXMEX-2015121132,MXMEX-PM10-1993,1,Temp,C,2015-12-11T03:02:08.056545,5.8,MXMEX-CUT
MXMEX-2015121132,MXMEX-PM10-1993,1,Hum,%,2015-12-11T03:02:08.056545,92,MXMEX-CUT
MXMEX-2015121132,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T03:02:08.056545,118.84753901560624,MXMEX-FAC
MXMEX-2015121132,MXMEX-PM10-1993,1,Temp,C,2015-12-11T03:02:08.056545,-99,MXMEX-FAC
MXMEX-2015121132,MXMEX-PM10-1993,1,Hum,%,2015-12-11T03:02:08.056545,-99,MXMEX-FAC
MXMEX-2015121132,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T03:02:08.056545,124.0,MXMEX-HGM
MXMEX-2015121132,MXMEX-PM10-1993,1,Temp,C,2015-12-11T03:02:08.056545,14.2,MXMEX-HGM
MXMEX-2015121132,MXMEX-PM10-1993,1,Hum,%,2015-12-11T03:02:08.056545,58,MXMEX-HGM
MXMEX-2015121132,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T03:02:08.056545,104.44177671068428,MXMEX-IZT
MXMEX-2015121132,MXMEX-SO2-1993,1,SO2,ppb,2015-12-11T03:02:08.056545,6.500000000000001,MXMEX-LLA
MXMEX-2015121132,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T03:02:08.056545,140.0,MXMEX-MER
MXMEX-2015121132,MXMEX-PM10-1993,1,Hum,%,2015-12-11T03:02:08.056545,67,MXMEX-MER
MXMEX-2015121132,MXMEX-CO-1993,1,CO,ppm,2015-12-11T03:02:08.056545,0.77,MXMEX-MON
MXMEX-2015121132,MXMEX-NOx-1993,1,NO2,ppb,2015-12-11T03:02:08.056545,54.6,MXMEX-NEZ
MXMEX-2015121132,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T03:02:08.056545,124.0,MXMEX-PED
MXMEX-2015121132,MXMEX-PM10-1993,1,Temp,C,2015-12-11T03:02:08.056545,13,MXMEX-PED
MXMEX-2015121132,MXMEX-PM10-1993,1,Hum,%,2015-12-11T03:02:08.056545,61,MXMEX-PED
MXMEX-2015121132,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T03:02:08.056545,130.0,MXMEX-SAG
MXMEX-2015121132,MXMEX-PM10-1993,1,Temp,C,2015-12-11T03:02:08.056545,13.1,MXMEX-SAG
MXMEX-2015121132,MXMEX-PM10-1993,1,Hum,%,2015-12-11T03:02:08.056545,72,MXMEX-SAG
MXMEX-2015121132,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T03:02:08.056545,124.0,MXMEX-TAH
MXMEX-2015121132,MXMEX-PM10-1993,1,Temp,C,2015-12-11T03:02:08.056545,11.5,MXMEX-TAH
MXMEX-2015121132,MXMEX-PM10-1993,1,Hum,%,2015-12-11T03:02:08.056545,73,MXMEX-TAH
MXMEX-2015121132,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T03:02:08.056545,140.0,MXMEX-TLA
MXMEX-2015121132,MXMEX-PM10-1993,1,Temp,C,2015-12-11T03:02:08.056545,12.3,MXMEX-TLA
MXMEX-2015121132,MXMEX-PM10-1993,1,Hum,%,2015-12-11T03:02:08.056545,55,MXMEX-TLA
MXMEX-2015121132,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T03:02:08.056545,128.0,MXMEX-TLI
MXMEX-2015121132,MXMEX-NOx-1993,1,NO2,ppb,2015-12-11T03:02:08.056545,48.300000000000004,MXMEX-UAX
MXMEX-2015121132,MXMEX-NOx-1993,1,Temp,C,2015-12-11T03:02:08.056545,12.3,MXMEX-UAX
MXMEX-2015121132,MXMEX-NOx-1993,1,Hum,%,2015-12-11T03:02:08.056545,73,MXMEX-UAX
MXMEX-2015121132,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T03:02:08.056545,132.0,MXMEX-UIZ
MXMEX-2015121132,MXMEX-PM10-1993,1,Temp,C,2015-12-11T03:02:08.056545,13.4,MXMEX-UIZ
MXMEX-2015121132,MXMEX-PM10-1993,1,Hum,%,2015-12-11T03:02:08.056545,67,MXMEX-UIZ
MXMEX-2015121132,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T03:02:08.056545,154.0,MXMEX-VIF
MXMEX-2015121132,MXMEX-PM10-1993,1,Temp,C,2015-12-11T03:02:08.056545,11.4,MXMEX-VIF
MXMEX-2015121132,MXMEX-PM10-1993,1,Hum,%,2015-12-11T03:02:08.056545,72,MXMEX-VIF
MXMEX-2015121132,MXMEX-PM10-1993,1,PM10,ug/m3,2015-12-11T03:02:08.056545,172.0,MXMEX-XAL
MXMEX-2015121132,MXMEX-PM10-1993,1,Temp,C,2015-12-11T03:02:08.056545,13.1,MXMEX-XAL
MXMEX-2015121132,MXMEX-PM10-1993,1,Hum,%,2015-12-11T03:02:08.056545,62,MXMEX-XAL
