feed_id,method_id,pollutant_averaging,pollutant_id,pollutant_unit,pollutant_update-time,pollutant_value,station_id
CDM-201512101246,CDM-PM10-1993,1,PM10,ug/m3,2015-12-10T12:46:16.020342,61.22448979591837,CDM-ACO
CDM-201512101246,CDM-PM10-1993,1,Temp,C,2015-12-10T12:46:16.020342,16.1,CDM-ACO
CDM-201512101246,CDM-PM10-1993,1,Hum,%,2015-12-10T12:46:16.020342,58,CDM-ACO
CDM-201512101246,CDM-PM10-1993,1,PM10,ug/m3,2015-12-10T12:46:16.020342,88.83553421368548,CDM-ATI
CDM-201512101246,CDM-PM10-1993,1,PM10,ug/m3,2015-12-10T12:46:16.020342,120.04801920768308,CDM-CAM
CDM-201512101246,CDM-PM10-1993,1,PM10,ug/m3,2015-12-10T12:46:16.020342,118.84753901560624,CDM-CHO
CDM-201512101246,CDM-PM10-1993,1,Temp,C,2015-12-10T12:46:16.020342,16.6,CDM-CHO
CDM-201512101246,CDM-PM10-1993,1,Hum,%,2015-12-10T12:46:16.020342,52,CDM-CHO
CDM-201512101246,CDM-O3-1993,1,O3,ppb,2015-12-10T12:46:16.020342,37.400000000000006,CDM-COY
CDM-201512101246,CDM-PM10-1993,1,PM10,ug/m3,2015-12-10T12:46:16.020342,85.23409363745499,CDM-CUA
CDM-201512101246,CDM-PM10-1993,1,Temp,C,2015-12-10T12:46:16.020342,15.4,CDM-CUA
CDM-201512101246,CDM-PM10-1993,1,Hum,%,2015-12-10T12:46:16.020342,55,CDM-CUA
CDM-201512101246,CDM-PM10-1993,1,PM10,ug/m3,2015-12-10T12:46:16.020342,128.0,CDM-CUT
CDM-201512101246,CDM-PM10-1993,1,Temp,C,2015-12-10T12:46:16.020342,16,CDM-CUT
CDM-201512101246,CDM-PM10-1993,1,Hum,%,2015-12-10T12:46:16.020342,56,CDM-CUT
CDM-201512101246,CDM-PM10-1993,1,PM10,ug/m3,2015-12-10T12:46:16.020342,92.43697478991596,CDM-FAC
CDM-201512101246,CDM-PM10-1993,1,Temp,C,2015-12-10T12:46:16.020342,-99,CDM-FAC
CDM-201512101246,CDM-PM10-1993,1,Hum,%,2015-12-10T12:46:16.020342,-99,CDM-FAC
CDM-201512101246,CDM-PM10-1993,1,PM10,ug/m3,2015-12-10T12:46:16.020342,108.04321728691477,CDM-HGM
CDM-201512101246,CDM-PM10-1993,1,Temp,C,2015-12-10T12:46:16.020342,18.2,CDM-HGM
CDM-201512101246,CDM-PM10-1993,1,Hum,%,2015-12-10T12:46:16.020342,41,CDM-HGM
CDM-201512101246,CDM-PM10-1993,1,PM10,ug/m3,2015-12-10T12:46:16.020342,87.63505402160865,CDM-IZT
CDM-201512101246,CDM-O3-1993,1,O3,ppb,2015-12-10T12:46:16.020342,24.2,CDM-LLA
CDM-201512101246,CDM-PM10-1993,1,PM10,ug/m3,2015-12-10T12:46:16.020342,132.0,CDM-MER
CDM-201512101246,CDM-PM10-1993,1,Hum,%,2015-12-10T12:46:16.020342,49,CDM-MER
CDM-201512101246,CDM-CO-1993,1,CO,ppm,2015-12-10T12:46:16.020342,1.1,CDM-MON
CDM-201512101246,CDM-NOx-1993,1,NO2,ppb,2015-12-10T12:46:16.020342,63.0,CDM-NEZ
CDM-201512101246,CDM-PM10-1993,1,PM10,ug/m3,2015-12-10T12:46:16.020342,96.03841536614647,CDM-PED
CDM-201512101246,CDM-PM10-1993,1,Temp,C,2015-12-10T12:46:16.020342,18.1,CDM-PED
CDM-201512101246,CDM-PM10-1993,1,Hum,%,2015-12-10T12:46:16.020342,48,CDM-PED
CDM-201512101246,CDM-PM10-1993,1,PM10,ug/m3,2015-12-10T12:46:16.020342,105.6422569027611,CDM-SAG
CDM-201512101246,CDM-PM10-1993,1,Temp,C,2015-12-10T12:46:16.020342,16.8,CDM-SAG
CDM-201512101246,CDM-PM10-1993,1,Hum,%,2015-12-10T12:46:16.020342,55,CDM-SAG
CDM-201512101246,CDM-PM10-1993,1,PM10,ug/m3,2015-12-10T12:46:16.020342,100.84033613445379,CDM-TAH
CDM-201512101246,CDM-PM10-1993,1,PM10,ug/m3,2015-12-10T12:46:16.020342,124.0,CDM-TLA
CDM-201512101246,CDM-PM10-1993,1,Temp,C,2015-12-10T12:46:16.020342,17.2,CDM-TLA
CDM-201512101246,CDM-PM10-1993,1,Hum,%,2015-12-10T12:46:16.020342,44,CDM-TLA
CDM-201512101246,CDM-PM10-1993,1,PM10,ug/m3,2015-12-10T12:46:16.020342,105.6422569027611,CDM-TLI
CDM-201512101246,CDM-O3-1993,1,O3,ppb,2015-12-10T12:46:16.020342,41.8,CDM-UAX
CDM-201512101246,CDM-O3-1993,1,Temp,C,2015-12-10T12:46:16.020342,18.6,CDM-UAX
CDM-201512101246,CDM-O3-1993,1,Hum,%,2015-12-10T12:46:16.020342,47,CDM-UAX
CDM-201512101246,CDM-PM10-1993,1,PM10,ug/m3,2015-12-10T12:46:16.020342,112.8451380552221,CDM-UIZ
CDM-201512101246,CDM-PM10-1993,1,Temp,C,2015-12-10T12:46:16.020342,17.9,CDM-UIZ
CDM-201512101246,CDM-PM10-1993,1,Hum,%,2015-12-10T12:46:16.020342,47,CDM-UIZ
CDM-201512101246,CDM-PM10-1993,1,PM10,ug/m3,2015-12-10T12:46:16.020342,132.0,CDM-VIF
CDM-201512101246,CDM-PM10-1993,1,Temp,C,2015-12-10T12:46:16.020342,15.9,CDM-VIF
CDM-201512101246,CDM-PM10-1993,1,Hum,%,2015-12-10T12:46:16.020342,57,CDM-VIF
CDM-201512101246,CDM-PM10-1993,1,PM10,ug/m3,2015-12-10T12:46:16.020342,152.0,CDM-XAL
CDM-201512101246,CDM-PM10-1993,1,Temp,C,2015-12-10T12:46:16.020342,16.4,CDM-XAL
CDM-201512101246,CDM-PM10-1993,1,Hum,%,2015-12-10T12:46:16.020342,45,CDM-XAL
